model,parameters,best_val_loss,best_val_accuracy,total_compute
rnn,969537,1.4881940952369146,0.5574427412406663,280.2675564289093
cnn,689217,1.6060065116201128,0.5330539201608271,150.62950658798218
transformer,1347969,1.565226933785847,0.5436351234922459,428.6766464710236
gru,822849,1.4692862374441964,0.5629352742676622,286.099582195282
lstm,1086017,1.5091037877968378,0.5524168940264216,381.6361739635468
